gamma,seed,type,state,is_red
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,red,1
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,red,1
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,red,1
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,red,1
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,red,1
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,red,1
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,red,1
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,red,1
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,red,1
0.0,0,high,blue,0
0.0,0,high,red,1
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,red,1
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,red,1
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,red,1
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,pink,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,high,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,pink,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,red,1
0.0,0,median,blue,0
0.0,0,median,blue,0
0.0,0,median,pink,0
0.0,0,median,blue,0
0.0,0,median,blue,0
