step,Blue,Pink,Red,Orange,MeanIncome,MoransI_Orange,MoransI_Red,MoransI_Red_within_high,MoransI_Red_within_median,MoransI_Red_within_low,gamma,seed
0,1800,0,0,0,190000.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,253,1547,0,0,254159.67312504858,0.0,0.0,0.0,0.0,0.0,0.0,0
2,191,1463,146,0,316252.49141885055,0.0,0.015262173841560141,-0.027354732895971408,-0.004004417483940206,0.020237346039736433,0.0,0
3,161,1346,293,0,376197.0007631896,0.0,0.02504136491171921,0.006503236633900516,0.013232206507718924,-0.024105726077408185,0.0,0
4,133,1262,405,0,437345.6311451447,0.0,0.029645090110871863,-0.04068247928102455,0.011300215430270965,-0.026793580868470165,0.0,0
5,111,1190,499,0,495583.0623263288,0.0,0.04477035441297392,-0.02913222500851152,0.004106333356398142,-0.009752742000966649,0.0,0
6,110,1137,553,0,548025.2165068088,0.0,0.05336761226886524,-0.024447349004352588,0.006560345910106623,-0.017975556834930864,0.0,0
7,92,1080,628,0,605533.8060920535,0.0,0.07230508079785951,-0.024447349004352588,0.011732149654511347,-0.027711389059465515,0.0,0
8,112,1010,678,0,658417.2597457885,0.0,0.0836196132414807,-0.025381724685668423,0.002744397531666123,-0.016025042994085185,0.0,0
9,134,970,696,0,708123.3156913671,0.0,0.08580999378595626,-0.022526039356246093,0.004833009860051721,-0.03227634518175327,0.0,0
10,142,911,747,0,768465.1436267636,0.0,0.11666297575856824,-0.03833095110334307,0.022386565153801885,-0.022518902549578498,0.0,0
11,158,861,781,0,826931.2200923492,0.0,0.1399544121012144,-0.03228188952146577,0.021932726987295845,0.0037211403310657243,0.0,0
12,171,816,813,0,901156.1506163545,0.0,0.15307249429554892,-0.02614138438880889,0.019554656828020434,0.01120297559041353,0.0,0
13,199,798,803,0,959225.1039401508,0.0,0.15531391255174498,-0.019893675175933597,0.01215041408824927,0.037086132318058386,0.0,0
14,236,769,795,0,1020514.9036369055,0.0,0.14606581033642646,-0.02522091310751248,0.005134858469652742,0.02928816288649991,0.0,0
15,256,763,781,0,1082470.5568296597,0.0,0.15100097759515266,-0.02522091310751248,0.015307064690117342,0.04413826182633414,0.0,0
16,287,743,770,0,1153299.4500835335,0.0,0.14480144287402358,-0.035176039805972295,0.012335432473550149,0.039019149398355865,0.0,0
17,315,730,755,0,1221954.0006340265,0.0,0.1424999622946918,-0.040868924889545355,0.012050662053682168,0.05366811691057268,0.0,0
18,368,701,731,0,1297930.1424607032,0.0,0.14188157279400693,-0.040868924889545355,0.03135074039267574,0.0440149410551923,0.0,0
19,428,667,705,0,1379713.9826364173,0.0,0.13523287223122263,-0.040868924889545355,0.03509780479791956,0.046231333614384244,0.0,0
20,480,639,681,0,1470371.244525452,0.0,0.12485730747671811,-0.03701151963099007,0.02587718394490254,0.04605884203902044,0.0,0
21,516,623,661,0,1583266.7795983346,0.0,0.11754751950391715,-0.04712654514399536,0.024780596889813315,0.0409208190955759,0.0,0
22,549,613,638,0,1708113.7951855634,0.0,0.11427247055180022,-0.04192787415121346,0.028607596132827654,0.03186623600537658,0.0,0
23,577,597,626,0,1835844.4770037883,0.0,0.11464649575032357,-0.04192787415121346,0.03315986469542669,0.03288808077580194,0.0,0
24,609,581,610,0,1984926.0556691187,0.0,0.10945841249091286,-0.036688902365072384,0.02556640276452652,0.03254754176433927,0.0,0
25,650,560,590,0,2144333.154105328,0.0,0.09691340947429031,-0.04858360794509617,0.01035940594238731,0.031051581002326755,0.0,0
26,685,542,573,0,2320119.739821831,0.0,0.09416915711118684,-0.04858360794509617,0.01662240083886559,0.024123053000188886,0.0,0
27,715,527,558,0,2514503.212409845,0.0,0.08719611593845808,-0.0468439139084803,0.01095189688050903,0.01919419241251991,0.0,0
28,730,523,547,0,2719968.2480352386,0.0,0.08056493461667658,-0.0468439139084803,0.006358636214443939,0.012901195720578481,0.0,0
29,748,526,526,0,2965003.6218842543,0.0,0.07417248690250046,-0.043310991554204474,0.005251520112172621,0.005869682188484629,0.0,0
30,784,512,504,0,3270355.90796217,0.0,0.07102818705956235,-0.03899596593455735,-0.0012542225242201206,0.015094086826914396,0.0,0
31,802,510,488,0,3586574.8200358255,0.0,0.06841632341299674,-0.03730409391573726,0.0029424055023628713,0.007901848496243752,0.0,0
32,818,507,475,0,3957638.7496976135,0.0,0.07297349049925099,-0.03562197332065687,0.00761562262691657,0.014121792966277807,0.0,0
33,842,502,456,0,4309737.499113886,0.0,0.07255973253119759,-0.02785572918205362,0.01076406662137897,0.015279587549043478,0.0,0
34,862,487,451,0,4682341.067452097,0.0,0.0665276296799314,-0.004621400639886138,0.010235749599179698,0.008196004176850603,0.0,0
35,884,479,437,0,5112276.109534109,0.0,0.0687328288612226,-0.010940038896900475,0.01074380251147402,0.02835903083700425,0.0,0
36,893,482,425,0,5635356.595286941,0.0,0.07143987639900005,-0.010940038896900475,0.016003386903030017,0.02999650235195557,0.0,0
37,910,478,412,0,6134920.141840153,0.0,0.0684875426185685,-0.010940038896900475,0.009826808922643041,0.03239409269145037,0.0,0
38,922,475,403,0,6661820.529894014,0.0,0.061665468505941255,-0.010940038896900475,0.0011420410085682857,0.03249942651100504,0.0,0
0,1800,0,0,0,190000.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,247,1553,0,0,254739.20282067472,0.0,0.0,0.0,0.0,0.0,0.0,1
2,186,1478,136,0,314738.77286421333,0.0,0.03644707553948358,-0.004639712148470634,0.021934611369459994,0.019702303748994794,0.0,1
3,147,1369,284,0,378347.42473238334,0.0,0.039395252083613,0.028571428571427658,0.009270039386076135,0.006748563069280963,0.0,1
4,131,1278,391,0,439056.6668200031,0.0,0.03957276879667272,-0.02944228538873142,0.012088405458654151,-0.00868003591738951,0.0,1
5,126,1194,480,0,500138.32543231157,0.0,0.05620211389441295,-0.012063808574277022,0.01658824628673946,-0.0010418855754090075,0.0,1
6,107,1147,546,0,553921.2844717732,0.0,0.06140377084005154,-0.013581626427644638,0.0242345587635009,-0.027544353208371154,0.0,1
7,102,1092,606,0,606221.1921879088,0.0,0.08329513351579086,-0.010320839525532671,0.015077788130809322,-0.0018172712701496378,0.0,1
8,118,1030,652,0,655533.6136340969,0.0,0.09952036942447101,-0.010320839525532671,0.02198822154359353,-0.0037158750166380434,0.0,1
9,134,975,691,0,708230.781299352,0.0,0.12068483099346908,-0.003235552508088657,0.014778869228583952,0.0014696642892366447,0.0,1
10,156,907,737,0,764920.4672685937,0.0,0.1391036142810439,-0.003235552508088657,0.026870141932307568,-0.0021107676838731148,0.0,1
11,137,893,770,0,832190.4627225968,0.0,0.14109937859006713,-0.003235552508088657,0.011112441739806809,-0.013524045307688958,0.0,1
